pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
scholarly_argument_sorabji_aristotle_transformed_by_comme_0__scholarly_argument_sorabji_freedom_and_the_will_in_ancien_0,argument,scholarly_argument_sorabji_aristotle_transformed_by_comme_0,Sorabji: The ancient commentators profoundly influenced subsequent Islamic and European p,scholarly_argument_sorabji_freedom_and_the_will_in_ancien_0,Sorabji: The idea of the will is not fully formed in ancient philosophy but requires asse,0.28,0.23,<=0.3,scholarly_argument_sorabji_freedom_and_the_will_in_ancien_0,description_token_overlap;label_token_overlap,"Sorabji (Preface): the commentators' most significant importance is their profound influence on subsequent Islamic and European philosophy, due partly to their preserving anti-Aristotelian material th","Sorabji distinguishes four strands in the idea of will — rationality, freedom, will power, will perverted by pride — each arising separately (Plato, Aristotle, Posidonius, Lucretius, Plotinus) and 'fi"
scholarly_argument_boulnois_cyril_s_technical_vocabulary_a_3__scholarly_argument_boulnois_free_will_against_fatalism_and_1,argument,scholarly_argument_boulnois_cyril_s_technical_vocabulary_a_3,Boulnois: Cyril employs a rich vocabulary for free will spanning decisional power (prohair,scholarly_argument_boulnois_free_will_against_fatalism_and_1,Boulnois: Cyril vigorously refutes fatalist doctrines that subject human choices to destin,0.28,0.18,<=0.3,scholarly_argument_boulnois_cyril_s_technical_vocabulary_a_3,description_token_overlap;label_token_overlap,"Cyril's technical vocabulary and originality of free will concept — Cyril employs a rich vocabulary for free will spanning decisional power (prohairesis, hairesis, rhopē, thelēma, boulēma, exousia, gn","free will against fatalism and astrology — Cyril vigorously refutes fatalist doctrines that subject human choices to destiny (heimarmenē), which he attributes to 'the Greeks'; fatalism destroys the hi"
scholarly_argument_boys_stones_2018_hypothetical_fate__scholarly_argument_boys_stones_2018_secondary_tertiary_providence,argument,scholarly_argument_boys_stones_2018_hypothetical_fate,"Hypothetical fate: nothing fated absolutely, everything fated conditionally (Boys-Stones 2018)",scholarly_argument_boys_stones_2018_secondary_tertiary_providence,Providence by proxy: secondary (world soul) and tertiary (daimons/humans) providence (Boys-Stones 2018),0.28,0.16,<=0.3,scholarly_argument_boys_stones_2018_secondary_tertiary_providence,description_token_overlap;label_token_overlap,"Boys-Stones' interpretation of Platonist 'conditional/hypothetical' fate (G, H, J): the claim is NOT that human choices are indeterminate while their consequences are fixed. Rather, no individual subl","Boys-Stones' reconstruction of the Platonist transmission of providence (Ch. 11, sources A, B, E, F, G): providence can be exercised 'by proxy.' The world soul is the true agent of god's care, exercis"
scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations__scholarly_argument_gibbons_providence_makes_defeated_motivation_indefeasible,argument,scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations,Gibbons: Pauline anthropology preserves conflicting motivations without making choice indeterminate,scholarly_argument_gibbons_providence_makes_defeated_motivation_indefeasible,Gibbons: providence makes defeated spiritual motivations indefeasible without directly compelling will,0.28,0.11,<=0.3,scholarly_argument_gibbons_providence_makes_defeated_motivation_indefeasible,description_token_overlap;label_token_overlap,"Gibbons argues that Origen's Pauline anthropology supplies the motivational architecture for universal revisability. The soul stands between spirit and flesh, so better spiritual desires and worse bod",Gibbons reconstructs Origen's account of providential motivation without alternative possibilities: God arranges historical circumstances suited to each person's character until a previously defeated 
scholarly_argument_o_keefe_aristotle_and_epicurus_on_orig_5__scholarly_argument_o_keefe_epicurus_position_on_moral_res_2,argument,scholarly_argument_o_keefe_aristotle_and_epicurus_on_orig_5,O'Keefe: Epicurus' theory of freedom has closer affinities with Aristotle's thought than ,scholarly_argument_o_keefe_epicurus_position_on_moral_res_2,"O'Keefe: Epicurus' central concern is that reason allows us to reform our characters, con",0.28,0.15,<=0.3,scholarly_argument_o_keefe_aristotle_and_epicurus_on_orig_5,description_token_overlap;label_token_overlap,Chapter 3 compares Epicurus with Aristotle's NE 3 on the agent as 'origin' (archê) and cause of his actions and character. Conclusions 'in part positive and in part negative': Epicurus 'would be sympa,"Epicurus' position on moral responsibility and rational agency — Epicurus' central concern is that reason allows us to reform our characters, control our actions, and blame and praise one another appr"
scholarly_argument_gaventa_cosmic_scope_of_salvation_and__1__scholarly_argument_gaventa_the_law_s_powerlessness_and_go_3,argument,scholarly_argument_gaventa_cosmic_scope_of_salvation_and__1,Gaventa: The human situation involves enslavement to cosmic powers of Sin and Death that ,scholarly_argument_gaventa_the_law_s_powerlessness_and_go_3,"Gaventa: The law is rendered powerless (adynaton) by the flesh/Sin's power, but God acts ",0.28,0.17,<=0.3,scholarly_argument_gaventa_the_law_s_powerlessness_and_go_3,description_token_overlap;label_token_overlap,cosmic scope of salvation and human enslavement to powers — The human situation involves enslavement to cosmic powers of Sin and Death that have invaded the entire human cosmos; peace with God results,"the law's powerlessness and God's power — The law is rendered powerless (adynaton) by the flesh/Sin's power, but God acts through the Spirit that yields life in Christ Jesus. God's power (dynamis) is "
scholarly_argument_gibbons_grace_free_will_account_remains_incomplete__scholarly_argument_gibbons_propatheia_discloses_character_for_self_judgment,argument,scholarly_argument_gibbons_grace_free_will_account_remains_incomplete,Gibbons: Origen's account of grace and free will remains incomplete in the worst cases,scholarly_argument_gibbons_propatheia_discloses_character_for_self_judgment,"Gibbons: propatheia discloses character and enables self-judgment, but cannot motivate contented vice",0.28,0.17,<=0.3,scholarly_argument_gibbons_grace_free_will_account_remains_incomplete,description_token_overlap;label_token_overlap,"Gibbons concludes that Origen's theory of moral motivation remains incomplete at the point where universal restoration and Stoic causal authorship meet. To explain radical revision in the worst cases,","Gibbons argues that Origen transforms the Stoic theory of pre-passion by making propatheia diagnostically disclose character. A pre-passion is involuntary and therefore not itself blameworthy, but its"
scholarly_argument_gaventa_the_law_s_powerlessness_and_go_3__scholarly_argument_gaventa_the_law_s_role_in_arousing_sin_2,argument,scholarly_argument_gaventa_the_law_s_powerlessness_and_go_3,"Gaventa: The law is rendered powerless (adynaton) by the flesh/Sin's power, but God acts ",scholarly_argument_gaventa_the_law_s_role_in_arousing_sin_2,Gaventa: Paul presents a paradoxical dynamic where the law itself arouses sinful passions,0.28,0.14,<=0.3,scholarly_argument_gaventa_the_law_s_powerlessness_and_go_3,description_token_overlap;label_token_overlap,"the law's powerlessness and God's power — The law is rendered powerless (adynaton) by the flesh/Sin's power, but God acts through the Spirit that yields life in Christ Jesus. God's power (dynamis) is ",The law's role in arousing sinful passions: Sin as a cosmic power colonizing the human agent (apocalyptic reading) — Paul presents a paradoxical dynamic where the law itself arouses sinful passions (7
scholarly_argument_helm_free_will_and_moral_responsibi_2__scholarly_argument_helm_libertarian_free_will_3,argument,scholarly_argument_helm_free_will_and_moral_responsibi_2,Helm: Holds that if non-theistic determinism is compatible with freedom and responsibi,scholarly_argument_helm_libertarian_free_will_3,Helm: Argues that compatibilist theism is in no better or worse moral case than free-w,0.28,0.11,<=0.3,scholarly_argument_helm_free_will_and_moral_responsibi_2,description_token_overlap;label_token_overlap,"free will and moral responsibility — Holds that if non-theistic determinism is compatible with freedom and responsibility, then theistic creation/ordination is equally compatible. The comparison is be","libertarian free will — Argues that compatibilist theism is in no better or worse moral case than free-will theism (libertarian varieties). If God is compromised as author of evil under compatibilism,"
synthesis_dihle1982_indian_excursus_intellectualism_parallel__synthesis_dihle1982_lec2_greek_intellectualism_action,synthesis,synthesis_dihle1982_indian_excursus_intellectualism_parallel,Dihle 1982 — Excursus indien : parallele indologique de l'intellectualisme,synthesis_dihle1982_lec2_greek_intellectualism_action,Dihle 1982 Lect. II — Vue grecque de l'action humaine (intellectualisme socratico-platonicien),0.28,0.27,<=0.3,synthesis_dihle1982_lec2_greek_intellectualism_action,description_token_overlap;label_token_overlap,"Cross-cutting synthesis of the volume: Dihle, a Hellenist who draws on the Indological work of Paul Hacker, includes several excursuses on the Brahmins and the Magi (p. 13-15 / md ll. 312, 404, 6639).","Synthesis of the second lecture (Dihle 1982 p. 20-47 / md ll. ~3050-7079). Dihle begins with the central formulation: 'the Greeks, in their attempts to analyze and to evaluate human action, never deve"
scholarly_argument_eliasson_plotinus_s_theory_of_fate_heim_0__scholarly_argument_eliasson_vi8_knowledge_conditions,argument,scholarly_argument_eliasson_plotinus_s_theory_of_fate_heim_0,"Eliasson: Plotinus develops a version of Middle Platonic fate theory, not merely refuting ",scholarly_argument_eliasson_vi8_knowledge_conditions,Eliasson: in Ennead VI.8 Plotinus makes eph' hemin conditional on normative knowledge,0.28,0.1,<=0.3,scholarly_argument_eliasson_plotinus_s_theory_of_fate_heim_0,description_token_overlap;label_token_overlap,Eliasson accepts that Ennead III.1 [3] belongs to a long tradition of texts on fate and that recent commentaries rightly stress its anti-Stoic arguments and their source in Alexander's De fato. Withou,"On Eliasson's reconstruction of Ennead VI.8's account at the level of individual souls, Plotinus criticises an unsatisfactory common attribution of to eph' hemin to wish (boulesis) and introduces succ"
scholarly_argument_crawford_astral_fate_arbitrary_not_efficacious__scholarly_argument_crawford_real_fate_redefined_as_slavery_to_passions,argument,scholarly_argument_crawford_astral_fate_arbitrary_not_efficacious,Crawford: Tatian treats astral fate as an arbitrary fiction rather than an efficacious cosmic power,scholarly_argument_crawford_real_fate_redefined_as_slavery_to_passions,Crawford: the only real fate is slavery to passions and can be escaped,0.28,0.15,<=0.3,scholarly_argument_crawford_astral_fate_arbitrary_not_efficacious,description_token_overlap;label_token_overlap,"Against readings that grant fate real efficacy for the unbaptized, Crawford interprets Tatian's apparent affirmations as ironic restatements of Greek claims. The mocked constellations have no intrinsi","Crawford explains Tatian's statement that demons themselves fell under fate by treating fate here as bondage to passion rather than stellar necessity. This fate can govern demons and humans, but human"
scholarly_argument_boys_stones_2018_cyclical_recurrence_no_astral_determinism__scholarly_argument_boys_stones_2018_secondary_tertiary_providence,argument,scholarly_argument_boys_stones_2018_cyclical_recurrence_no_astral_determinism,"Platonist cyclical recurrence is causal, not astral determinism (Boys-Stones 2018)",scholarly_argument_boys_stones_2018_secondary_tertiary_providence,Providence by proxy: secondary (world soul) and tertiary (daimons/humans) providence (Boys-Stones 2018),0.28,0.1,<=0.3,scholarly_argument_boys_stones_2018_secondary_tertiary_providence,description_token_overlap;label_token_overlap,"Boys-Stones argues that the Platonist (ps.-Plutarch, On Fate 569; Origen, Against Celsus 5.21) belief in exact cyclical recurrence — the same individuals reborn doing the same things, e.g. ps.-Plutarc","Boys-Stones' reconstruction of the Platonist transmission of providence (Ch. 11, sources A, B, E, F, G): providence can be exercised 'by proxy.' The world soul is the true agent of god's care, exercis"
scholarly_argument_prigent_authorship_redaction_and_textu_2__scholarly_argument_prigent_free_will_and_moral_choice_in__0,argument,scholarly_argument_prigent_authorship_redaction_and_textu_2,Prigent: Despite attempts by specialists throughout the 20th century to distinguish succe,scholarly_argument_prigent_free_will_and_moral_choice_in__0,Prigent: The Two Ways material in Barnabas 18-20 represents a distinct genre from the ear,0.28,0.16,<=0.3,scholarly_argument_prigent_free_will_and_moral_choice_in__0,description_token_overlap;label_token_overlap,"Authorship, redaction, and textual integrity — Despite attempts by specialists throughout the 20th century to distinguish successive layers of composition or redaction, the epistle as a whole presents","Prigent: with 18,1 Barnabas consciously changes genre — no longer Testimonia or liturgical traditions but 'la morale concrète'; ch. 18 lays the theological foundation and chs. 19-20 list precise comma"
scholarly_argument_voelke_consent_to_destiny_voluntary_act__scholarly_argument_voelke_determinism_and_moral_responsi_1,argument,scholarly_argument_voelke_consent_to_destiny_voluntary_act,"Voelke: consent to Destiny is the voluntary act par excellence, not passive resignation",scholarly_argument_voelke_determinism_and_moral_responsi_1,Voelke: Stoic compatibilism: determinism (fate) is compatible with moral responsibility ,0.28,0.29,<=0.3,scholarly_argument_voelke_consent_to_destiny_voluntary_act,description_token_overlap;label_token_overlap,"Chapter VI, 'Le consentement au Destin'. Only the willing that consents to Destiny is safe from failure and can greet every event as the realisation of its own aspiration; its best expression is Clean",Voelke: the Stoic distinction between the cause 'perfect in itself' (perfecta et principalis) and merely auxiliary/antecedent causes reconciles human freedom with universal fatality. When the perfect 
scholarly_argument_voelke_consent_to_destiny_voluntary_act__scholarly_argument_voelke_will_as_immanent_tension,argument,scholarly_argument_voelke_consent_to_destiny_voluntary_act,"Voelke: consent to Destiny is the voluntary act par excellence, not passive resignation",scholarly_argument_voelke_will_as_immanent_tension,"Voelke: the primordial Stoic will is immanent tension (tonos) of the pneuma, not effort against resistance",0.28,0.22,<=0.3,scholarly_argument_voelke_consent_to_destiny_voluntary_act,description_token_overlap;label_token_overlap,"Chapter VI, 'Le consentement au Destin'. Only the willing that consents to Destiny is safe from failure and can greet every event as the realisation of its own aspiration; its best expression is Clean","Against philosophers who define will by effort against a resisting object (a conception implying exteriority, as in Maine de Biran), Voelke argues that in the old Stoa effort in its primordial form su"
scholarly_argument_scheck_augustine_selectively_receives_commentary_faith_works__scholarly_argument_scheck_grace_free_choice_tension_resists_simple_semipelagian_label,argument,scholarly_argument_scheck_augustine_selectively_receives_commentary_faith_works,"Scheck: Augustine selectively receives Origen's faith-and-works exegesis while diverging on Romans 5, 7, and 9",scholarly_argument_scheck_grace_free_choice_tension_resists_simple_semipelagian_label,Scheck: Origen's grace and free-choice texts form a real tension that resists a simple semi-Pelagian label,0.28,0.08,<=0.3,scholarly_argument_scheck_augustine_selectively_receives_commentary_faith_works,description_token_overlap;label_token_overlap,"Scheck argues that Augustine shares Origen's organic account of faith, love, and postbaptismal works and may reuse its root and building metaphors. Augustine's principal explicit condemnations target ",Scheck juxtaposes texts calling faith a gift of the Spirit with texts in which free acquired merit supplies material for divine distribution. Because Origen declares the causal ordering partly incompr
scholarly_argument_nikolaou_divine_goodness_gives_without_coercion__scholarly_argument_nikolaou_providence_foreknowledge_and_synergy,argument,scholarly_argument_nikolaou_divine_goodness_gives_without_coercion,Nikolaou: divine goodness offers salvation without using omnipotence to compel acceptance,scholarly_argument_nikolaou_providence_foreknowledge_and_synergy,Nikolaou: Clement distinguishes providence from predetermination and ends in grace-first synergy,0.28,0.08,<=0.3,scholarly_argument_nikolaou_providence_foreknowledge_and_synergy,description_token_overlap;label_token_overlap,"Nikolaou distinguishes God's omnipotence from God's freely exercised goodness in Clement. Salvation remains God's gift, but applying omnipotence to force its reception would destroy free choice; Adam ","Nikolaou: for Clement providence embraces all people but is not predetermination, which would abolish free will; providence permits independent action. Reception of grace is preceded by the person's d"
argument_maximus_natural_vs_gnomic_will__scholarly_argument_blowers_wills_vs_mode_of_willing,argument,argument_maximus_natural_vs_gnomic_will,"Maximus the Confessor: Natural Will vs. Gnomic Will (Disp. Pyrrh.; Opusc. 1, 3)",scholarly_argument_blowers_wills_vs_mode_of_willing,Blowers: Maximus distinguishes the wills themselves from the 'mode of willing' (τὸ πῶς θέλειν),0.28,0.15,<=0.3,argument_maximus_natural_vs_gnomic_will,description_token_overlap;label_token_overlap,"Maximus the Confessor's distinction between the natural will (φυσικὸν θέλημα) and the gnomic will (γνωμικὸν θέλημα), articulated at the Disputatio cum Pyrrho (645 CE, PG 91, 287–354) and in Opuscula t","Blowers (p.52, with p.164) identifies as a major theme of Maximus's mature Christology the distinction between the wills themselves and the 'mode of willing' (τὸ πῶς θέλειν) or 'mode of use' (τρόπος τ"
synthesis_amand1945_hierocles_bizarre_carneadean_inversion__synthesis_amand1945_lucian_sophist_satirist_carneadean_topos,synthesis,synthesis_amand1945_hierocles_bizarre_carneadean_inversion,Hiéroclès et l'inversion bizarre du topos carnéadien (Amand 1945),synthesis_amand1945_lucian_sophist_satirist_carneadean_topos,Lucien sophiste antifataliste — adaptation libre d'un topos carnéadien (Amand 1945),0.28,0.19,<=0.3,synthesis_amand1945_hierocles_bizarre_carneadean_inversion,description_token_overlap;label_token_overlap,"Spectacular thesis of Amand 1945 (Book I ch. VI §II.5, p. 173-176): whereas all Plotinian Neoplatonists neglect Carneades’ argument, the Alexandrian Neoplatonist Hierocles (early fifth century) makes ","Amand 1945 thesis (Book I ch. III §I+II, p. 107-115): Lucian of Samosata, a late sophist without any stable philosophical position, reduces philosophy to a down-to-earth morality devoid of scientific "
scholar_hall_c__scholar_hall_sg,person,scholar_hall_c,Claire Hall,scholar_hall_sg,Stuart George Hall,0.28,0.16,<=0.3,scholar_hall_c,label_token_overlap;shared_surname,"Patristics, Origen, early Christian philosophy","British patristics scholar (King's College London); editor and translator of Melito of Sardis, On Pascha and Fragments (Oxford Early Christian Texts, Clarendon Press, 1979)."
scholarly_argument_boys_stones_comparison_between_middle_plat_1__scholarly_argument_boys_stones_justin_martyr_as_middle_platon_7,argument,scholarly_argument_boys_stones_comparison_between_middle_plat_1,Boys-Stones: The Middle Platonist theory of fate is considerably closer to the Stoic account ,scholarly_argument_boys_stones_justin_martyr_as_middle_platon_7,Boys-Stones: Implicitly acknowledges Justin Martyr (1 Apology 43) belongs to Middle Platonist,0.28,0.2,<=0.3,scholarly_argument_boys_stones_justin_martyr_as_middle_platon_7,label_token_overlap,Comparison between Middle Platonist and Stoic fate theories — The Middle Platonist theory of fate is considerably closer to the Stoic account than generally acknowledged. Both accept that events in th,"Boys-Stones explicitly counts 'the Christian Justin' among the 'thinkers who provide evidence for the theory' of hypothetical fate, alongside Plutarch, Apuleius, Amelius and Alexander of Lycopolis (pp"
pub_holz_1970_uber_den_begriff_des_willens_und_der_freiheit_bei_origenes__pub_muller_2009_willensschwache_und_innerer_mensch_in_rom_und_bei_origenes_zur_c,publication,pub_holz_1970_uber_den_begriff_des_willens_und_der_freiheit_bei_origenes,Harald Holz 1970 — Über den Begriff des Willens und der Freiheit bei Origenes.,pub_muller_2009_willensschwache_und_innerer_mensch_in_rom_und_bei_origenes_zur_c,Jörn Müller 2009 — Willensschwäche und innerer Mensch in Röm 7 und bei Origenes : zur christlichen Tradition des Handelns wider besseres Wissen,0.28,0.05,<=0.3,pub_holz_1970_uber_den_begriff_des_willens_und_der_freiheit_bei_origenes,description_token_overlap,"Article Über den Begriff des Willens und der Freiheit bei Origenes. was published on January 1, 1970 in the journal Neue Zeitschrift für Systematische Theologie und Religionsphilosophie (volume 12, is","Article Willensschwäche und innerer Mensch in Röm 7 und bei Origenes: Zur christlichen Tradition des Handelns wider besseres Wissen was published on July 1, 2009 in the journal Zeitschrift für die neu"
scholarly_argument_dettwiler_free_will_and_prayer_0__scholarly_argument_dettwiler_moral_responsibility_and_commu_2,argument,scholarly_argument_dettwiler_free_will_and_prayer_0,Dettwiler: The exhortation to pray continually (1 Th 5:17) is embedded in a framework of di,scholarly_argument_dettwiler_moral_responsibility_and_commu_2,Dettwiler: The exhortations in 1 Th 5:12-22 are directed toward concrete communal life and ,0.28,0.16,<=0.3,scholarly_argument_dettwiler_moral_responsibility_and_commu_2,description_token_overlap,"free will and prayer — The exhortation to pray continually (1 Th 5:17) is embedded in a framework of divine grace that precedes and enables human response; moralizing readings are excluded, suggesting","Dettwiler reads 1 Th 5:12-22 as a conclusive exhortation to a very young community, exposed to outside pressure, spiritually inexperienced and deprived of its founder (p. 11). Ecclesial unity is exper"
argument_origen_witness_carneadean_transposition_envelope_amand1945__argument_origen_witness_diss_argos_logos_refutation_amand1945,argument,argument_origen_witness_carneadean_transposition_envelope_amand1945,Origène — Transposition théologique des arguments moraux de Carnéade (Amand 1945 Livre II Ch. V §IV),argument_origen_witness_diss_argos_logos_refutation_amand1945,Origène — Réfutation de l'Argos Logos via prophéties Judas/Œdipe (Amand 1945),0.28,0.26,<=0.3,argument_origen_witness_carneadean_transposition_envelope_amand1945,description_token_overlap,"Argumentative framework: Amand devotes §IV (p. 318-325) to Origen's use of Carneades' anti-fatalist moral argumentation. It is the first two sections of chapter 23 of the Philocalia (Phil. 23.1-2, Rob","Amand (p. 311): The compilers of the Philocalia appended to the discussion of foreknowledge a copious quotation from Contra Celsum II.20 (sections 12-13 of Philocalia 23, Robinson p. 199-201). There O"
work_ad_simplicianum__work_confessions,work,work_ad_simplicianum,Ad Simplicianum (To Simplician),work_confessions,Confessiones (Confessions),0.28,0.05,<=0.3,work_confessions,description_token_overlap,"Turning point work where Augustine radically developed his understanding of grace and predestination while wrestling with Paul's Epistle to the Romans, especially 1 Corinthians 4:7 'What have you that","Augustine's spiritual autobiography culminating in his conversion. Books VII-VIII particularly important for understanding his views on will, grace, and conversion through Neoplatonism and Paul's epis"
scholarly_argument_denzey_lewis_pauline_exegesis_and_cosmic_en_3__scholarly_argument_dettwiler_authorship_of_colossians_1,argument,scholarly_argument_denzey_lewis_pauline_exegesis_and_cosmic_en_3,Denzey Lewis: Pauline concept of 'body of death' represents cosmic malevolence and enslavement,scholarly_argument_dettwiler_authorship_of_colossians_1,"Dettwiler: Adheres to the third option (deutero-Pauline, written after Paul's death by a di",0.28,0.11,<=0.3,scholarly_argument_denzey_lewis_pauline_exegesis_and_cosmic_en_3,label_token_overlap,"Diverging from the majority of scholars, Denzey Lewis asserts that cosmic pessimism in second- to fourth-century Christianity (particularly, though not exclusively, 'Gnostic' Christianity) finds its r","Among three options on Colossians' author (Paul himself; a close disciple authenticated by Paul during his lifetime, the 'secretary' hypothesis; composition after the Apostle's death by a disciple or "
scholarly_argument_engberg_pedersen_progression_and_moral_developm_3__scholarly_argument_engberg_pedersen_self_and_agency_in_paul_2,argument,scholarly_argument_engberg_pedersen_progression_and_moral_developm_3,Engberg-Pedersen: Both Paul and the Stoics employ a model of ethical progression (prokopē) where i,scholarly_argument_engberg_pedersen_self_and_agency_in_paul_2,Engberg-Pedersen: Paul's notion of self is connected to his cosmological world-view through a cons,0.28,0.08,<=0.3,scholarly_argument_engberg_pedersen_progression_and_moral_developm_3,label_token_overlap,"Not verifiable in the fonds: the extraction contains only the first page of ch. 4 (p. 81) and nothing of p. 82; no mention of prokopē, of the sophos/prokoptontes distinction or of Phil 3:12-14. The ne",unchanged (description faithful); pages corrected
scholarly_argument_brand_philo_free_will_amid_pessimism__scholarly_argument_frick_divine_transcendence_and_provi_4,argument,scholarly_argument_brand_philo_free_will_amid_pessimism,Brand: Philo defends free will to absolve God of sin despite a deeply pessimistic view of the human inclination,scholarly_argument_frick_divine_transcendence_and_provi_4,Frick: Philo predicates God as provident in nature despite strict unknowability of God',0.28,0.08,<=0.3,scholarly_argument_brand_philo_free_will_amid_pessimism,label_token_overlap,"Brand argues that the wisdom/philosophical texts (Ben Sira and Philo) are the only Second Temple works that address the problem of sin directly, and that both aim to place responsibility for sin in hu",Faithful as written; only the page is wrong.
argument_scotuss_synchronic_contingency_e39fc978__scholarly_argument_mansfeld_aristotle_on_choice_and_will_1,argument,argument_scotuss_synchronic_contingency_e39fc978,Scotus's Synchronic Contingency,scholarly_argument_mansfeld_aristotle_on_choice_and_will_1,Mansfeld: Endorses Frede's argument that Aristotle does not have a concept of will but doe,0.28,0.05,<=0.3,scholarly_argument_mansfeld_aristotle_on_choice_and_will_1,description_token_overlap,"Scotus's radical defense of libertarian freedom: at the very moment (in eodem instanti) of choosing, the will retains the power to choose otherwise (Ordinatio I, d. 39). Key Thesis: For an act to be c","Mansfeld reports Frede's chapter 'Aristotle on Choice without a Will': Aristotle has no concept of will but one of 'willing'; prohairesis is choosing as a special 'form of willing', 'not between alter"
scholarly_argument_gaventa_divine_liberation_and_human_ag_1__scholarly_argument_pouderon_determinism_and_fate_vs_christ_1,argument,scholarly_argument_gaventa_divine_liberation_and_human_ag_1,Gaventa: God's action in Christ Jesus liberates humanity from enslavement to Sin and Deat,scholarly_argument_pouderon_determinism_and_fate_vs_christ_1,Pouderon: The apologists combated gnostic determinism which distinguished the transcendent,0.28,0.08,<=0.3,scholarly_argument_gaventa_divine_liberation_and_human_ag_1,description_token_overlap,"divine liberation and human agency — God's action in Christ Jesus liberates humanity from enslavement to Sin and Death through the Spirit; this liberation is an event initiated by God's power, not hum","Pouderon's back-cover presentation says the apologists, besides defending Christians against pagan accusations and building 'un premier pont' between pagan philosophy and Christianity, fought closer a"
scholarly_argument_djeranian_the_cylinder_analogy_and_its_l_3__scholarly_argument_voelke_determinism_and_moral_responsi_1,argument,scholarly_argument_djeranian_the_cylinder_analogy_and_its_l_3,"D'Jeranian: Chrysippus's cylinder analogy, which makes fate the antecedent and auxiliary cau",scholarly_argument_voelke_determinism_and_moral_responsi_1,Voelke: Stoic compatibilism: determinism (fate) is compatible with moral responsibility ,0.28,0.15,<=0.3,scholarly_argument_djeranian_the_cylinder_analogy_and_its_l_3,description_token_overlap,D'Jeranian: in De fato 42-43 Chrysippus's manoeuvre dissociates the necessity of fate and preserves the individual's autonomy by making fate the antecedent and auxiliary cause of his action; man's mov,Voelke: the Stoic distinction between the cause 'perfect in itself' (perfecta et principalis) and merely auxiliary/antecedent causes reconciles human freedom with universal fatality. When the perfect 
scholarly_argument_byerly_hick_s_libertarianism_and_its__2__scholarly_argument_meyer_1998_no_greek_term_moral_responsibility,argument,scholarly_argument_byerly_hick_s_libertarianism_and_its__2,Byerly: While Hick explicitly affirms libertarianism in his discussion of freedom to res,scholarly_argument_meyer_1998_no_greek_term_moral_responsibility,"Meyer: no Greek expression corresponds to 'moral responsibility', yet the topic was debated",0.28,0.12,<=0.3,scholarly_argument_meyer_1998_no_greek_term_moral_responsibility,description_token_overlap,Hick's libertarianism and its dispensability — While Hick explicitly affirms libertarianism in his discussion of freedom to respond in love to God—where he states free action 'does not arise in a full,"Meyer argues that although there is no expression in Classical or Hellenistic Greek corresponding to the English 'moral responsibility', the topic was the subject of lively discussion: all major figur"
argument_carter_2024_objections_are_fatalist__scholarly_argument_donini_aristotle_s_principle_of_corre_0,argument,argument_carter_2024_objections_are_fatalist,Carter: the two arguments against the both-false view are themselves fatalist arguments,scholarly_argument_donini_aristotle_s_principle_of_corre_0,Donini: Aristotle consistently holds a principle of truth as conformity of statements to,0.28,0.08,<=0.3,argument_carter_2024_objections_are_fatalist,description_token_overlap,"Carter argues that the two objections to the both-false interpretation at De Interpretatione 9, 18b17-25 are additional fatalist arguments, not Aristotle speaking in propria persona. The first assumes","Aristotle's principle of correspondence (logoi to pragmata) — Aristotle consistently holds a principle of truth as conformity of statements to extralinguistic reality, where logoi are causally depende"
scholarly_argument_blackwell_irenaeus_on_human_moral_progre_1__scholarly_argument_munier_human_nature_and_salvation_in__1,argument,scholarly_argument_blackwell_irenaeus_on_human_moral_progre_1,Blackwell: Blackwell interprets Irenaeus as holding that humans are not perfect from the be,scholarly_argument_munier_human_nature_and_salvation_in__1,Munier: Munier discusses Justin's anthropology and soteriology in chapter IX.4 'L'homme ,0.28,0.04,<=0.3,scholarly_argument_blackwell_irenaeus_on_human_moral_progre_1,description_token_overlap,"Blackwell on Irenaeus: humans, like Adam, are created in infancy with only the capacity for perfection if they grow into it (p. 40); Irenaeus explains that human destiny is determined by free will, no","Ch. IX.4 'L'homme et son salut' (pp. 114-127) opens with Justin's optimism about creation and, on the soul (immortal by grace, not by nature), quotes Puech: the soul must be rewarded according to its "
argument_carneadean_incentives_amand1945__scholarly_argument_linjamaa_cosmos_as_school_and_community_4,argument,argument_carneadean_incentives_amand1945,"Argument carnéadien IV — Encouragements, récompenses, réprimandes et châtiments sont sans objet (futility of incentives)",scholarly_argument_linjamaa_cosmos_as_school_and_community_4,Linjamaa: The Tripartite Tractate presents the cosmos as a 'school' (scholē) that imperfec,0.28,0.17,<=0.3,argument_carneadean_incentives_amand1945,description_token_overlap,"Fourth of the six argumentative headings reconstructed by Amand (1945, p. 577-578). Amand’s formulation: « Under the hypothesis of absolute fatalism, encouragements and rewards, reproaches, reprimands",Linjamaa: the Aeons' 'school of conduct' in the Pleroma and the cosmos as a place of learning show that both heavenly and earthly life follow a pedagogical structure. The social context reflected in T
