node_id,label,type,period,p_curator_notes,description_excerpt
argument_origen_witness_diss_problem3_human_ignorance_amand1945,Origène — Problème 3 : ignorance humaine des signes (4 arguments) (Amand 1945),argument,Patristic,0.77,"Amand (p. 313-315): Problem 3 — Man cannot acquire exact knowledge of the events and human actions foretold by astral configurations. Four arguments (Phil. 23.17-19, Robinson p. 205-208): (1) Imprecision of the moment of"
scholarly_argument_engberg_pedersen_stoic_freedom_eleutheria_and_d_1,Engberg-Pedersen: Stoic ethics provides a comprehensive philosophical framework for understanding ,argument,Contemporary,0.77,"On p. 45 Engberg-Pedersen merely lists Stoic 'freedom' (eleutheria), with the sophos and the adiaphora, among motifs 'most scholars have heard of', against the few who 'have studied Stoic ethics as a comprehensive philos"
concept_aeternitas_boethius_g2h3i4j5,Aeternitas (Divine Eternity) - Boethius,concept,Late Antiquity,0.77,"Aeternitas is Boethius's distinctive concept of divine eternity, carefully distinguished from mere endless temporal duration (perpetuitas or sempiternitas).  [Latin KEY TEXT - V.6.4] ""Aeternitas igitur est interminabilis"
synthesis_amand1945_epilogue_historical,Bilan historique de l'épilogue Amand 1945 — combat épiscopal contre l'astrologie IIIe-Ve siècles,synthesis,,0.77,"Sixth and final strand of Amand’s epilogical assessment (Amand 1945, p. 591-592). Historical claim: « In the Greek or Hellenized East, the hierarchical leaders and teachers of Christianity vigorously combated, from the t"
scholar_harrison_carol,Carol Harrison,person,Contemporary,0.77,"British patristic scholar (Lady Margaret Professor of Divinity, Oxford); author of Rethinking Augustine's Early Theology: An Argument for Continuity (Oxford University Press, 2006), which argues against the periodised re"
argument_four_categories_alex,Four Categories of Being (Alexander),argument,Roman Imperial,0.76,Greek terminology: • ἐξ ἀνάγκης (ex anankēs) - by necessity • ὡς ἐπὶ τὸ πολύ (hōs epi to poly) - for the most part • ἀπὸ τύχης (apo tychēs) - from chance • τὸ ἐφ᾽ ἡμῖν (to eph' hēmin) - what is up to us  Argument structu
argument_origen_witness_carneades_transposition_prayer_useless_amand1945,Origène (transposant Carnéade) — Inutilité des prières sous fatalisme astral (Amand 1945),argument,Patristic,0.76,"Amand (p. 323-324): Origen outlines the development of another theme in Carneades’ moral argumentation (Phil. 23.2, Robinson p. 189,18-22). Amand's note: “remaining at the level of generalities, he does not feel the need"
argument_reactive_attitudes_alex,Legacy reconstruction (discovery only): Reactive Attitudes Argument (Alexander),argument,Roman Imperial,0.76,"Modern reactive-attitudes comparison, discovery only. Alexander's polemical appeals to anger, gratitude, praise and blame may be compared with later analytic debates, but the Strawsonian taxonomy is not his text. Sharple"
scholarly_position_long_sedley_epicurus_first_freewill,Origin of free will problem,argument,Contemporary,0.76,Attributed and disputed historical-priority claim associated with Long and Sedley volume 1 section 20 and Huby 1967. The audited volume 2 does not establish that Epicurus first posed the free-will question. Its note trea
scholarly_argument_grant_irenaeus_against_gnostic_deter_1,Grant: Grant presents Irenaeus as fundamentally opposed to Valentinian and other Gnosti,argument,Contemporary,0.76,"Grant's introductory chapters summarize the Valentinian system Irenaeus refutes, including the three kinds of entities (material, psychic, spiritual) and the 'three races of men' read out of the Gospels, and note that ps"
concept_eleutheron_kai_autexousion,Ἐλεύθερον καὶ αὐτεξούσιον - Free and Self-Determining,concept,Patristic,0.76,"Technical Patristic formula for human freedom. Greek: ἐλεύθερον καὶ αὐτεξούσιον (eleutheron kai autexousion, ""free and self-determining""). Earliest attested combination in Theophilus (Autol. II.27): ἐλεύθερον γὰρ καὶ αὐτ"
concept_perfect_vs_antecedent_causes_8w3x5z21,Perfect vs. Antecedent Causes (Chrysippean Distinction),concept,Hellenistic,0.76,"Chrysippus' response to critics of determinism (a position modern scholars characterize as compatibilist). The cylinder analogy: external push (antecedent cause) starts cylinder rolling, but cylinder's shape (perfect cau"
argument_basil_zodiac_animal_absurdity,Basil Hex VI.7 section 2: Absurdity of zodiac-animal derived characters,argument,Late Antiquity,0.75,"Section 2 of Hex VI.7 (PG 29.129C-132B): Basil mocks the portraits of the 'Ram-man', 'Bull-man', and 'Scorpion-man' drawn from a ζῳδιολόγιον (a manual of popular astrology identified by Bidez 1938 as close to Mosquensis "
argument_firmicus_witness3_laws_abrogated_amand1945,"Témoin n°3 (Firmicus Math I, 2, 10-11) — Troisième argument : abrogation des lois et droits du magistrat",argument,Hellenistic,0.75,"Third anti-fatalist moral argument reconstructed in Firmicus Mathesis I, 2, 10-11 (Kroll-Skutsch I p. 8 l. 25 — p. 9 l. 4) by Amand 1945 (analysis p. 186, Latin text p. 187-188). Legislative-juridical argument: if astrol"
argument_philo_de_providentia_collective_death_amand1945,"Troisième argument antifataliste du Περὶ προνοίας I, 87 — mort collective",argument,Hellenistic,0.75,"Third Philonian argument from Περὶ προνοίας I, 87 (beginning), briefly sketched (Amand p. 85, ll. 5420-5424): the destruction of a city often entails the capture or death of all its citizens; a plague sometimes carries o"
scholarly_argument_frede_aristotle_on_will_1,Frede: Aristotle does not have a notion of will; he has a theory of choice (prohairesis,argument,Contemporary,0.75,"Frede holds that neither Plato nor Aristotle has a notion of a will: Aristotle has a notion of choice (prohairesis), but a willing for him is a direct result of one's cognitive state, and non-rational desires can move us"
concept_common_cause_alex,"Common Cause (Alexander, De fato, Bruns 194-195)",concept,Roman Imperial,0.75,"Modern label, not an Alexandrian technical term: neither κοινὴ αἰτία nor ἀρχὴ πολλῶν occurs anywhere in Alexander (exhaustive TLG search). Alexander's own formulation, De fato (Bruns 194-195): ὁρῶμεν γὰρ ἐπὶ πολλῶν τὸ αὐ"
work_aristotle_magna_moralia,"Aristotle, Magna Moralia",work,Classical Greek,0.75,"Aristotle, Magna Moralia. Work shell created from the live corpus so DB passages can be represented in the KG at passage level."
work_plato_apology,"Plato, Ἀπολογία Σωκράτους",work,Classical Greek,0.75,"Plato, Ἀπολογία Σωκράτους. Work shell created from the live corpus so DB passages can be represented in the KG at passage level."
pub_ewing_2005_christianization_pronoia_clement,Jon D. Ewing 2005 — The Christianization of Pronoia: Clement of Alexandria's Conception of Providence,publication,Contemporary,0.75,"Jon D. Ewing, The Christianization of Pronoia: Clement of Alexandria's Conception of Providence (2005); local PDF read at recorded scope."
scholarly_argument_koch_alexander_s_aristotelian_sourc_5,"Koch: Alexander draws on Aristotelian discussions of τὸ ἐφ’ ἡμῖν and ἐνδεχόμενον, but ",argument,Contemporary,0.74,"Aristotle elaborated no doctrine of fate; the attribution of one rests on Mantissa XXV (a collection whose authenticity is discussed case by case) and a thin, hard-to-reconstruct Peripatetic tradition (Polyzelos' On Fate"
scholarly_argument_hildebrandt_alexander_objections_fail_homonymy,Hildebrandt: most Alexandrian objections fail by exploiting the homonymy of 'contingent',argument,Modern,0.74,"Hildebrandt argues that several objections in Alexander, De fato 8-9, miss their target because 'contingent' is used in different senses: an Aristotelian sense tied to essence or proper cause and a Stoic sense tied to th"
scholarly_argument_sharples_stoic_providence_and_determini_1,Sharples: Orthodox Chrysippean Stoicism holds every event is both predetermined and part o,argument,Contemporary,0.74,"Stoic providence and determinism — Orthodox Chrysippean Stoicism holds every event is both predetermined and part of providential plan, but apparent exceptions (Cicero ND 2.166-7; Chrysippus in Plutarch Stoic. Rep. 37) m"
concept_sympatheia_universal_posidonius_nyssa,Universal Sympatheia (μία ἐν τοῖς οὖσι συμπάθεια) — Posidonian dogma in Gregory CF,concept,Late Antiquity,0.74,"Posidonian doctrine of universal sympatheia (mia tis estin en tois ousi sympatheia, kai syneches esti to pan heauto), as expounded by the Stoicizing pagan philosopher who is Gregory of Nyssa's interlocutor in Against Fat"
pub_hankinson_1999_determinism,Determinism and Indeterminism,publication,Contemporary,0.74,"Hankinson, R.J. (1999). ""Determinism and Indeterminism."" In K. Algra et al. (eds.), The Cambridge History of Hellenistic Philosophy (Cambridge UP), pp. 513-541. Thesis: Comprehensive survey of the ancient determinism deb"
synthesis_amand1945_transmission_carneades_to_philo_chain,Amand 1945 — Chaîne de transmission Carnéade → Clitomaque → ὑπόμνημα alexandrin → Philon (1er témoin) et Cicéron De fato (témoin parallèle),synthesis,,0.74,Amand’s reconstruction of the chain of transmission of Carneades’ anti-fatalist moral argumentation to the earliest witnesses (B3): (1) Carneades (214/213-129/128 BCE) — wrote nothing. (2) Clitomachus of Carthage (187/18
argument_carneadean_piety_amand1945,Carneadean Argument VI — Absolute fatalism ruins piety and religion (ruin of piety),argument,Hellenistic,0.73,"Sixth of the six argumentative titles reconstructed by Amand (1945, p. 580-581). Amand's formulation: ""Absolute fatalism undermines piety towards the Divinity, inspires contempt for the gods, and logically leads to the r"
scholarly_position_andresen_justin_middle_platonist,Justin Martyr and Middle Platonism,argument,Contemporary,0.73,Justin Martyr and Middle Platonism — Celsus' attack on Christianity and Justin's apologetic response must be read in the framework of Middle Platonism; Justin's doctrine of the Logos and of human autonomy is shaped by hi
scholarly_argument_donini_aristotle_s_consistency_on_det_0,"Donini: Aristotle held a consistent theory or set of theories about determinism, the vol",argument,Contemporary,0.73,"As reported by the reviewer P. M. Huby (CR 41.2, 1991, p. 370), Donini 'seems to believe that Aristotle held a consistent theory, or set of theories, about these matters throughout his life', and tries to show that 'many"
concept_tyrannike_hamartia,Τυραννικὴ ἁμαρτία (Tyrannike Hamartia) - Tyrannical Sin,concept,Patristic,0.73,"Melito's personification of sin as a tyrannical power. Greek: ἡ τυραννικὴ ἁμαρτία (hē tyrannikē hamartia, ""tyrannical sin""). In Peri Pascha 49-54, Melito describes humanity as ἀνηρπάζοντο ὑπὸ τῆς τυραννικῆς ἁμαρτίας (""sn"
synthesis_amand1945_ch3_moral_argument_scheme_announcement,"Amand 1945 — Schéma de l'argumentation morale antifataliste de Carnéade (annoncé au Ch. III, reconstruit en Conclusion)",synthesis,,0.73,"Synthetic outline of the anti-fatalist ethical argument advanced by Amand in ch. III §I (1945, p. 62-63) — the first introductory presentation of the material fully reconstructed in the Conclusion (= the 6 argumentative "
work_aristotle_physics,"Aristotle, Physica",work,Classical Greek,0.73,"Aristotle, Physica. Work shell created from the live corpus so DB passages can be represented in the KG at passage level."
pub_koenig_2010_clemens_seelsorger,"Hildegard König 2010 — Dass du dich retten lässt, das drängt mich sehr! Clemens von Alexandrien als Seelsorger",publication,Contemporary,0.73,"Hildegard König, Dass du dich retten lässt, das drängt mich sehr! Clemens von Alexandrien als Seelsorger (2010); local PDF read at recorded scope."
argument_carneadean_stoic_pragmatic_punishment_amand1945,Carneadean Argument — The Stoics Do in Fact Punish Criminals (Alexander §19),argument,Hellenistic,0.72,"Additional argument reconstructed by Amand (1945, p. 585-586) on the sole testimony of Alexander of Aphrodisias (Περὶ εἱμαρμένης 19, 5e argument). Statement: “The Stoics virtually acknowledge our freedom, since, instead "
scholarly_argument_irwin_intellectualism_vs_anti_intell_1,"Irwin: Both intellectualist views (Socratic/Stoic, where belief alone determines choice",argument,Contemporary,0.72,"Setting out the case of those who deny the Greeks a concept of the will ('derived from Gauthier', n. 8), Irwin distinguishes intellectualist theories (Socratic, Stoic: only belief about the better option affects choice) "
scholarly_argument_narbonne_soul_s_descent_and_moral_respo_2,Narbonne: Examines the 'partly undescended soul' (ἀμέθεξις) as a Plotinian concept develop,argument,Contemporary,0.72,"Study Two: the partly undescended soul, which guarantees the incarnate soul 'a direct and uninterrupted link with transcendent realities', is 'a transfer or, more precisely, a reformulation of a teaching' traceable to th"
concept_non_necessitating_cause_alex,Non-Necessitating Cause (modern rendering: αἴτιον οὐκ ἀναγκαστικόν — not Alexander's own term),concept,Roman Imperial,0.72,"A cause that produces its effect without making it necessary. The effect could have been otherwise even given the cause.  1. NECESSITATING cause: Given A, B must follow (fire → heat) 2. NON-NECESSITATING cause: Given A, "
scholar_eastman_susan,Susan Grove Eastman,person,Modern,0.72,"Susan Grove Eastman (b. 1952) is a New Testament scholar specializing in the letters of Paul, with a focus on Pauline anthropology, participation ('in Christ'/'with Christ' language), and the theological interpretation o"
synthesis_frede2011_ch6_platonist_peripatetic_criticisms,Ch. 6 — Alexandre d'Aphrodise et la dérive libertarienne (Frede 2011),synthesis,Roman Imperial,0.72,"Summary Frede 2011 ch. 6 (p. 89-101): Platonists and Peripatetics adopt the Stoic notion, accepting it in part, but rejecting the providential determinism that accompanies it. The trajectory is as follows: Carneades (Cic"
work_philo_de_opificio,"Philo, De Opificio Mundi",work,Roman Imperial,0.72,"Περὶ τῆς κατὰ Μωυσέα κοσμοποιίας (De Opificio Mundi), opening treatise of Philo of Alexandria's Exposition of the Law (mid-1st century CE). The work argues that Moses surpassed all legislators by opening his law-code wit"
pub_hodges_1997_gnostic_liberation_astrological_determinism,Horace Jeffery Hodges 1997 — Gnostic Liberation from Astrological Determinism: Hipparchan Trepidation and the Breaking of Fate,publication,Contemporary,0.72,"Horace Jeffery Hodges, Gnostic Liberation from Astrological Determinism: Hipparchan Trepidation and the Breaking of Fate (1997); local PDF read at recorded scope."
pub_harl_1960_problemes_histoire_autexousion,Marguerite Harl 1960 — Problèmes posés par l'histoire du mot to autexousion: liberté stoïcienne et liberté chrétienne,publication,Contemporary,0.72,"Marguerite Harl, Problèmes posés par l'histoire du mot to autexousion: liberté stoïcienne et liberté chrétienne (1960); local PDF read at recorded scope."
argument_skeptical_argument_from_divine_power_d217cdac,Skeptical Argument from Divine Power,argument,Early Modern,0.71,"Pierre Bayle's skeptical argument uses divine omnipotence to show that we cannot have certain knowledge of the external world or even our own mental states: if God is omnipotent, He could cause us to have all our experie"
work_epicurus_letters_fragments,"Epicurus, Letters and Fragments",work,Hellenistic,0.71,"Epicurus, Letters and Fragments. Work shell created from the live corpus so DB passages can be represented in the KG at passage level."
work_lucian_apologia,"Lucien, Apologie",work,Roman Imperial,0.71,"Apology (Ἀπολογία) by Lucian of Samosata, a short work in which the Syrian rhetorician apologizes to his friend Sabinus for having accepted a remunerated post in the provincial administration of Egypt in his old age. For"
work_seneca_epistulae_morales,"Seneca, Epistulae Morales ad Lucilium",work,Roman Imperial,0.71,"Seneca, Epistulae Morales ad Lucilium. Work shell created from the live corpus so DB passages can be represented in the KG at passage level."
work_augustine_adversus_fulgentium,"Augustine, Libellus Adversus Fulgentium Donatistam",work,Late Antiquity,0.71,"Libellus adversus Fulgentium Donatistam, transmitted in the Augustinian corpus (CPL 351; its authenticity is debated). Anti-Donatist polemic. 26 passages in this corpus."
pub_kovacs_2001_divine_pedagogy_gnostic_teacher_clement,Judith L. Kovacs 2001 — Divine Pedagogy and the Gnostic Teacher according to Clement of Alexandria,publication,Contemporary,0.71,"Judith L. Kovacs, Divine Pedagogy and the Gnostic Teacher according to Clement of Alexandria (2001); local PDF read at recorded scope."
pub_pagels_1985_christian_apologists_fall_angels,Elaine Pagels 1985 — Christian Apologists and the Fall of the Angels: An Attack on Roman Imperial Power?,publication,Contemporary,0.71,"Elaine Pagels, Christian Apologists and the Fall of the Angels: An Attack on Roman Imperial Power? (1985); local PDF read at recorded scope."
position_academic_skepticism_fate,Academic skeptical suspension on fate,position,Cross-period,0.7,"The Academic skeptical stance of withholding assent (epochē) on whether fate governs all things. Carneades is reported to have argued against both Stoic fate and Epicurean indeterminism, maintaining that voluntary action"
pub_magris_2021_filosofizzazione_cristianesimo,Magris 2021 — La filosofizzazione del cristianesimo (Verbum Vitae),publication,Modern,0.7,"Aldo Magris, « Filosofizzazione del cristianesimo », *Verbum Vitae* 39/3 (2021), 915-940 (doi:10.31743/vv.12162). CC BY-ND 4.0. OA article thematically adjacent to *Destino, provvidenza, predestinazione* (Morcelliana 200"
scholarly_work_tolan_2020_the_contemplation_of_the_transcendent_he,Tolan 2020 — The Contemplation of the Transcendent Heart: Tracing the ἡγεμονικόν from the Sto,publication,Contemporary,0.7,The Contemplation of the Transcendent Heart: Tracing the ἡγεμονικόν from the Stoics to Origen. Dissertation defended c. 2020 and deposited/dated 2021; '2021' is the more commonly cited year.
